cod,judete,x,y
AB,Alba,-143,37
AG,Arges,-17,-121
AR,Arad,-316,62
B,Bucuresti,110,-198
BC,Bacau,164,73
BH,Bihor,-274,157
BN,Bistrita Nasaud,-57,185
BR,Braila,257,-111
BT,Botosani,160,272
BV,Brasov,18,-20
BZ,Buzau,156, -89
CJ,Cluj,-139,123
CL,Calarasi,194,-225
CS,Caras Severin,-299, -100
CT,Constanta,320,-231
CV,Covasna,91,-2
DB,Dambovita,41,-140
DJ,Dolj,-160,-248
GJ,Gorj,-165,-129
GL,Galati,264,-17
GR,Giurgiu,83,-243
HD,Hunedoara,-200,-14
HR,Harghita,45,89
IF,Ilfov,110,-198
IL,Ialomita,205,-176
IS,Iasi,207,187
MH,Mehedinti,-223,-176
MM,Maramures,-107,245
MS,Mures,-41,93
NT,Neamt,112,152
OT,Olt,-59,-225
PH,Prahova,96,-110
SB,Sibiu,-73,0
SJ,Salaj,-179,177
SM,Satu-Mare,-201,251
SV,Suceava,67,236
TL,Tulcea,354,-123
TM,Timis,-385,-14
TR,Teleorman,11,-265
VL,Valcea,-75,-106
VN,Vrancea,178,-12
VS,Vaslui,262,83
